employer,jan,feb,mar,apr,may,total,months_active,avg_per_month,size_category
Axis Prime Ltd,1,0,0,0,0,1,1,1.0,1 permit
Ayagan IT Services Limited,0,1,0,0,0,1,1,1.0,1 permit
Ayur Clinic Limited,0,0,0,1,0,1,1,1.0,1 permit
AZCON LIMITED,1,0,0,0,0,1,1,1.0,1 permit
Azeem Medico Limited,0,0,1,0,0,1,1,1.0,1 permit
Azets Ireland Limited,2,0,0,0,0,2,1,2.0,2-5 permits
Azimut Life dac,0,0,0,0,1,1,1,1.0,1 permit
Azza Consultancy Services Limited,0,0,0,1,1,2,2,1.0,2-5 permits
B & D Healthcare Company Limited,0,0,0,0,1,1,1,1.0,1 permit
B Donaghy Construction Limited,0,1,0,0,0,1,1,1.0,1 permit
B&M Tierney,1,0,0,0,0,1,1,1.0,1 permit
B. Braun Wellstone Limited,0,0,1,0,0,1,1,1.0,1 permit
